,tokenise
0,"['los', 'angeles', 'schools', '30k', 'unvaccinated', 'students', 'push', 'covid', 'vaccine', 'mandate', 'fall', '2022']"
1,"['see', 'parallels', 'ppl', 'global', 'south', 'saying', 'nomore', 'war', 'amp', 'economic', 'exploitation', 'amp', 'people', 'post', 'covid']"
2,"['mom', 'old', 'elevated', 'risk', 'covid', 'hope', 'taking', 'extra', 'steps', 'ensure', 'safety']"
3,"['4th', 'child', 'died', 'vietnam', 'due', 'overreaction', 'vaccine']"
4,"['feds', 'could', 'announce', 'tougher', 'border', 'measures', 'wednesday', 'amid', 'concerns', 'omicron', 'spread']"
5,"['vp', 'university', 'relations', 'joel', 'malina', 'virtually', 'every', 'case', 'omicron', 'variant', 'date', 'found', 'fully']"
6,"['maybe', 'covid', 'deaths', 'think', 'time', 'give', 'person', 'year', 'award']"
7,"['see', 'lot', 'vaccinated', 'people', 'getting', 'covid', 'point', 'point', 'people', 'hospital']"
8,"['cdc', 'confirms', '80', 'cases', 'caused', 'omicron', 'variant', 'us', 'fully', 'vaccinated', 'individuals', '33']"
9,"['update', 'pnp', 'health', 'service', 'recorded', 'following', 'total', 'number', 'confirmed', 'cases', 'death', 'recoveries', 'december']"
10,"['pandemic', '75', 'lawmakers', 'traded', 'stock', 'companies', 'make', 'covid', 'vaccines', 'treatments', 'tests']"
11,"['wear', 'mask', 'easiest', 'thing', 'covid']"
12,"['many', 'families', 'lost', 'earnings', 'working', 'moms', 'stayed', 'home', 'child', 'care', 'options', 'closed', 'covid', 'millions']"
13,"['broadly', 'ominous', 'whole', 'one', 'sense', 'covid', 'trends', 'sports', 'track', 'general']"
14,"['uncle', 'took', 'dinner', 'tonight', 'belated', 'bday', 'gift', 'first', 'meal', 'restaurant', 'since', 'covid']"
15,"['want', 'learn', 'workplace', 'experiences', 'participants', 'take', 'part', 'short', 'research']"
16,"['thought', 'weather', 'catching', 'covid']"
17,"['covid', 'bottlenecks', 'hold', 'back', 'german', 'economy', 'q4', 'ministry', 'berlin', 'reuters', 'german', 'government', 'expects']"
18,"['mention', 'gop', 'top', 'priority', 'spread', 'covid']"
19,"['mom', 'old', 'elevated', 'risk', 'covid', 'hope', 'taking', 'extra', 'steps', 'ensure', 'safety']"
20,"['listening', 'interview', 'mccullough', 'thoroughly', 'convinced', 'incompetence']"
21,"['mark', 'american', 'deaths', 'due', 'must', 'remember', 'lost', 'pray', 'loved', 'ones']"
22,"['kroger', 'country', 'biggest', 'traditional', 'grocery', 'chain', 'ending', 'benefits', 'unvaccinated', 'workers', 'big', 'employers']"
23,"['malaka', 'variant', 'covid', 'going', 'discovered']"
24,"['breaking', 'spectators', 'required', 'show', 'proof', 'double', 'vaccination', 'negative', 'lateral', 'flow']"
25,"['year', 'ago', 'hospital', 'giving', 'birth', 'sick', 'yet', 'alone', 'nights', 'husband', 'sent', 'home']"
26,"['lansdowne', 'wrestlers', 'get', 'four', 'pins', 'falls', 'host', 'milford', 'mill', 'millers', 'three', 'pins', 'missing']"
27,"['building', 'literally', 'littered', 'people', 'understand', 'importance', 'wearing', 'mask', 'properly']"
28,"['look', 'comments', 'ordinary', 'canadians', 'getting', 'pissed', 'covid', 'things', 'got', 'ta', 'either', 'blow', 'blow', 'soon']"
29,"['unlimited', 'wishes', 'money', 'tf', 'covid', 'long']"
30,"['4th', 'child', 'died', 'vietnam', 'due', 'overreaction', 'vaccine']"
31,"['today', 'house', 'holds', 'moment', 'silence', 'lost', 'held', 'one', 'minute']"
32,"['welp', 'triple', 'vaccinated', 'mother', 'covid', 'crap']"
33,"['update', 'rose', 'icu', 'covid', 'pneumonia', 'large', 'blood', 'clots', 'secondary', 'infection', 'thank', 'god', 'classified']"
34,"['biden', 'thinks', 'everything', 'people', 'putting', 'shattered', 'lives', 'together', 'grieving', 'loved', 'ones', 'lost']"
35,"['see', 'parallels', 'ppl', 'global', 'south', 'saying', 'nomore', 'war', 'amp', 'economic', 'exploitation', 'amp', 'people', 'post', 'covid']"
36,"['thought', 'weather', 'catching', 'covid']"
37,"['takes', 'bit', 'break', 'pretty', 'sick', 'rn', 'getting', 'covid', 'test', 'tomorrow', 'kept', 'forgetting', 'make', 'tweet', 'lol', 'sorryyyy']"
38,"['university', 'florida', 'launches', 'investigation', 'reports', 'pressure', 'destroy', 'covid', 'research']"
39,"['qlders', 'went', 'along', 'live', 'vax', 'injuries', '2021', 'surely', 'huge', 'leap', 'faith']"
40,"['mark', 'american', 'deaths', 'due', 'must', 'remember', 'lost', 'pray', 'loved', 'ones']"
41,"['rapid', 'rtpcr', 'test', 'costs', 'rs', 'intl', 'airport', 'way', 'normal', 'mkt', 'prices', 'rs', '4500', 'till', 'last', 'week']"
42,"['see', 'parallels', 'ppl', 'global', 'south', 'saying', 'nomore', 'war', 'amp', 'economic', 'exploitation', 'amp', 'people', 'post', 'covid']"
43,"['new', 'carlisle', 'united', 'reduced', 'stadium', 'capacity', 'fans', 'show', 'covid']"
44,"['year', '2k69', 'covid', 'long', 'forgotten', 'interplanetary', 'commutes', 'work', 'norm']"
45,"['ben', 'shapiro', 'right', 'vaccine', 'trump', 'better', 'biden', 'foreign', 'policy']"
46,"['breaking', 'gujarat', 'government', 'accepted', 'fudged', 'data', 'covid', 'deaths', 'double', 'engine', 'magic']"
47,"['new', 'kroger', 'says', 'paid', 'leave', 'longer', 'available', 'unvaccinated', 'employees', 'contract', 'virus']"
48,"['mark', 'american', 'deaths', 'due', 'must', 'remember', 'lost', 'pray', 'loved', 'ones']"
49,"['still', 'response', 'government', 'university', 'online', 'campaign']"
